"Y","X"
-36.836984994,174.742906354
-36.837464215,174.742745977
-36.8382899229999,174.742623633
-36.839727394,174.744903558
-36.8413638559999,174.745961019
-36.842035602,174.746821837
-36.841774959,174.74639925
-36.8421018779999,174.746960964
-36.84230604,174.747248897
-36.842457106,174.747854858
-36.8426245439999,174.748657012
-36.845091371,174.77020489
-36.845045302,174.770025155
-36.8368987279999,174.759721916
-36.84308427,174.757589208
-36.842542078,174.758667574
-36.840071312,174.745711416
-36.8367836539999,174.742949907
-36.839428067,174.744373199
-36.840232194,174.747206136
-36.844086224,174.778335016
-36.842112356,174.747048911
-36.8365678659999,174.757854941
-36.842732547,174.752434564
-36.837898348,174.742694934
-36.8366873799999,174.759673099
-36.843232389,174.768546118
-36.842738846,174.749101167
-36.837888102,174.742650595
-36.8380557909999,174.742627216
-36.837490052,174.742742874
-36.84434981,174.779406634
-36.8375403549999,174.742735636
-36.8436995929999,174.770035796
-36.840775327,174.753227681
-36.837997898,174.75596508
-36.8364366719999,174.759082333
-36.8439262539999,174.77816311
-36.841299287,174.758391043
-36.8413849089999,174.758475941
-36.8409224919999,174.758400246
-36.844073624,174.769337079
-36.842850015,174.766045442
-36.839090101,174.754556145
-36.837095857,174.759601468
-36.837223749,174.759472262
-36.842838897,174.766001939
-36.840466486,174.756932813
-36.840741485,174.753242994
-36.843254389,174.774461718
-36.838678006,174.755330856
-36.8410539189999,174.744677734
-36.83872897,174.743142477
-36.8433632099999,174.751272963
-36.837780354,174.758878989
-36.8365090959999,174.75853078
-36.839777769,174.744977011
-36.842803793,174.765866789
-36.842815155,174.765910197
-36.839840195,174.756569261
-36.8365436,174.758233178
-36.842137022,174.767685435
-36.8408969549999,174.758737417
-36.842827153,174.765956008
-36.8389847779999,174.757506433
-36.842442438,174.764405141
-36.842672884,174.749526017
-36.842445493,174.747769953
-36.8396506669999,174.747684469
-36.8375818219999,174.759067884
-36.8370564379999,174.759652156
-36.8404050789999,174.756422605
-36.842420923,174.772286493
-36.8424968109999,174.748082868
-36.849486089,174.779598518
-36.8388108469999,174.757728658
-36.8400367039999,174.756336458
-36.861065316,174.755521292
-36.858963127,174.761661324
-36.863794221,174.755745248
-36.8519202749999,174.775422679
-36.854810436,174.774910424
-36.8551104749999,174.775425702
-36.859871313,174.772505907
-36.8597687339999,174.772468821
-36.8591156529999,174.773838618
-36.8569001339999,174.777000832
-36.8566761669999,174.777936311
-36.8520566359999,174.775308853
-36.8566536869999,174.777788007
-36.859471202,174.773306482
-36.8585480789999,174.766015623
-36.859244894,174.773989843
-36.857842999,174.779028659
-36.8564675979999,174.772216185
-36.856915698,174.776947116
-36.8569563249999,174.75178667
-36.859935658,174.764103033
-36.859611269,174.780293886
-36.8565400489999,174.777797302
-36.8588554569999,174.765692711
-36.8548416749999,174.775661932
-36.8593889269999,174.773716276
-36.8548176799999,174.773814606
-36.857459037,174.777227448
-36.8564567949999,174.778786201
-36.8573473439999,174.779227749
-36.85947895,174.762554468
-36.8546816259999,174.774706012
-36.855678037,174.752817795
-36.855735368,174.776510483
-36.8565973139999,174.778117108
-36.85727802,174.777150669
-36.8544862109999,174.774956024
-36.854433945,174.774876375
-36.854273357,174.77446062
-36.856094173,174.777173169
-36.856585916,174.777899066
-36.8541048009999,174.773599365
-36.859566086,174.779796541
-36.8552892129999,174.775659158
-36.857846244,174.778997685
-36.8591449099999,174.765364056
-36.8598461409999,174.762413715
-36.858778689,174.779861889
-36.8546754179999,174.774738559
-36.860062017,174.763970806
-36.859581503,174.77310278
-36.859832503,174.77269613
-36.8553167919999,174.775616268
-36.8582508869999,174.779542305
-36.858725571,174.779234404
-36.8574569849999,174.77725769
-36.859506402,174.762513477
-36.854315668,174.777008731
-36.8548576389999,174.775625384
-36.85619975,174.777374525
-36.856634801,174.778150136
-36.854268152,174.774497385
-36.856631513,174.778181098
-36.85662102,174.777989875
-36.8547832909999,174.774021766
-36.860650224,174.763353528
-36.8598468279999,174.762372042
-36.856068738,174.777213991
-36.8542792179999,174.774467588
-36.856326263,174.776219219
-36.855635837,174.752634546
-36.856347968,174.776197342
-36.85871904,174.779323832
-36.856224606,174.777327831
-36.860133173,174.763804553
-36.856069717,174.775907965
-36.8548419439999,174.773734577
-36.857680665,174.779383743
-36.8572655849999,174.777193968
-36.856647456,174.77770671
-36.8544619689999,174.774840968
-36.8557823319999,174.776484636
-36.859586012,174.779742911
-36.856269545,174.778714643
-36.856670649,174.777838062
-36.8544456829999,174.774958439
-36.856048922,174.775953136
-36.8599781999999,174.780507801
-36.8567739119999,174.778892714
-36.854762368,174.774082468
-36.867732684,174.760249259
